movie,tags,image_count
Sometimes They Come Back,"horror(20, 25.97%), mystery(29, 37.66%), dark(6, 7.79%), action(31, 40.26%), dramatic(10, 12.99%), suspenseful(10, 12.99%), fantasy(13, 16.88%), comedy(12, 15.58%), inspiring(1, 1.30%), sci-fi(4, 5.19%), cult(8, 10.39%), tragedy(1, 1.30%), western(5, 6.49%), romantic(9, 11.69%), storytelling(2, 2.60%), psychological(4, 5.19%), murder(4, 5.19%), comic(1, 1.30%), intrigue(3, 3.90%), violence(1, 1.30%), thought-provoking(2, 2.60%), haunting(1, 1.30%)",77
Rizzoli & Isles,"inspiring(1, 2.50%), fantasy(2, 5.00%), horror(3, 7.50%), comedy(6, 15.00%), action(10, 25.00%), cult(2, 5.00%), dramatic(2, 5.00%), romantic(4, 10.00%), suspenseful(2, 5.00%), mystery(6, 15.00%), intrigue(2, 5.00%), murder(2, 5.00%)",40
Jaane Tu... Ya Jaane Na,"suspenseful(1, 2.50%), action(8, 20.00%), dramatic(2, 5.00%), cult(21, 52.50%), romantic(12, 30.00%), comedy(14, 35.00%), western(2, 5.00%), horror(2, 5.00%), mystery(2, 5.00%), dark(1, 2.50%), humor(1, 2.50%), fantasy(1, 2.50%), historical(2, 5.00%), storytelling(1, 2.50%)",40
Better Call Saul,"suspenseful(8, 10.13%), mystery(27, 34.18%), action(25, 31.65%), fantasy(4, 5.06%), comic(1, 1.27%), sci-fi(3, 3.80%), dramatic(5, 6.33%), intrigue(5, 6.33%), dark(6, 7.59%), murder(15, 18.99%), western(1, 1.27%), comedy(6, 7.59%), horror(3, 3.80%), cult(3, 3.80%), violence(1, 1.27%), romantic(1, 1.27%)",79
17 Again,"comedy(3, 8.57%), romantic(1, 2.86%), humor(1, 2.86%), intrigue(1, 2.86%), action(1, 2.86%), mystery(1, 2.86%), feel-good(1, 2.86%), tragedy(1, 2.86%)",35
The F Word,"romantic(22, 35.48%), comedy(28, 45.16%), cult(10, 16.13%), mystery(9, 14.52%), fantasy(15, 24.19%), action(19, 30.65%), horror(10, 16.13%), intrigue(1, 1.61%), cute(1, 1.61%), dark(1, 1.61%), humor(2, 3.23%)",62
Santa Fe Trail,"romantic(8, 8.00%), western(43, 43.00%), horror(6, 6.00%), comedy(13, 13.00%), mystery(7, 7.00%), historical(38, 38.00%), action(25, 25.00%), dramatic(4, 4.00%), inspiring(1, 1.00%), fantasy(7, 7.00%), sci-fi(3, 3.00%), cult(12, 12.00%), murder(1, 1.00%), intrigue(1, 1.00%), thought-provoking(1, 1.00%), comic(2, 2.00%), humor(2, 2.00%), entertaining(1, 1.00%), dark(1, 1.00%)",100
The Uninvited,"fantasy(1, 6.67%), horror(3, 20.00%), gothic(1, 6.67%), haunting(1, 6.67%), mystery(3, 20.00%), storytelling(1, 6.67%), dramatic(2, 13.33%), intrigue(1, 6.67%), dark(1, 6.67%), action(1, 6.67%)",15
Natural Born Killers,"action(3, 27.27%), mystery(2, 18.18%), western(1, 9.09%), comedy(2, 18.18%), fantasy(1, 9.09%), horror(1, 9.09%), cult(1, 9.09%)",11
Kozure Ôkami: Sanzu no kawa no ubaguruma,"historical(10, 16.39%), cult(21, 34.43%), action(36, 59.02%), western(3, 4.92%), dramatic(3, 4.92%), suspenseful(2, 3.28%), horror(4, 6.56%), mystery(5, 8.20%), dark(2, 3.28%), intrigue(2, 3.28%), fantasy(11, 18.03%), sci-fi(4, 6.56%), murder(2, 3.28%), violence(1, 1.64%), romantic(1, 1.64%), comedy(1, 1.64%), good versus evil(1, 1.64%), alternate history(1, 1.64%)",61
Sharknado,"intrigue(2, 3.33%), horror(9, 15.00%), mystery(8, 13.33%), fantasy(6, 10.00%), action(26, 43.33%), dark(2, 3.33%), sci-fi(3, 5.00%), dramatic(1, 1.67%), romantic(3, 5.00%), comedy(4, 6.67%), humor(1, 1.67%), revenge(1, 1.67%), cult(4, 6.67%), murder(3, 5.00%), comic(2, 3.33%), gothic(1, 1.67%), storytelling(1, 1.67%), western(1, 1.67%)",60
Assassin's Creed IV: Black Flag,"fantasy(59, 59.00%), action(66, 66.00%), romantic(4, 4.00%), sci-fi(14, 14.00%), horror(16, 16.00%), cult(12, 12.00%), mystery(12, 12.00%), comic(6, 6.00%), comedy(9, 9.00%), tragedy(1, 1.00%), dark(6, 6.00%), cruelty(1, 1.00%), murder(1, 1.00%), historical(15, 15.00%), western(5, 5.00%), alternate history(4, 4.00%), suspenseful(2, 2.00%), storytelling(4, 4.00%), realism(1, 1.00%), satire(1, 1.00%), gothic(2, 2.00%), dramatic(1, 1.00%), intrigue(3, 3.00%), haunting(1, 1.00%), violence(1, 1.00%)",100
Until Death,"action(58, 63.04%), mystery(33, 35.87%), dramatic(10, 10.87%), dark(5, 5.43%), suspenseful(15, 16.30%), fantasy(14, 15.22%), western(8, 8.70%), horror(18, 19.57%), comedy(18, 19.57%), cult(14, 15.22%), intrigue(6, 6.52%), violence(3, 3.26%), murder(9, 9.78%), romantic(10, 10.87%), comic(3, 3.26%), sci-fi(4, 4.35%), historical(1, 1.09%), inspiring(2, 2.17%), entertaining(1, 1.09%), thought-provoking(1, 1.09%), revenge(1, 1.09%)",92
Southside with You,"action(11, 18.03%), horror(5, 8.20%), comedy(11, 18.03%), cult(5, 8.20%), mystery(3, 4.92%), romantic(14, 22.95%), realism(1, 1.64%), fantasy(4, 6.56%), sci-fi(3, 4.92%), dark(1, 1.64%), dramatic(2, 3.28%), inspiring(3, 4.92%), storytelling(1, 1.64%), entertaining(1, 1.64%), thought-provoking(1, 1.64%)",61
Crimson Tide,"action(21, 55.26%), suspenseful(3, 7.89%), thought-provoking(2, 5.26%), fantasy(7, 18.42%), sci-fi(3, 7.89%), horror(8, 21.05%), comedy(5, 13.16%), cult(4, 10.53%), mystery(7, 18.42%), psychological(1, 2.63%), violence(2, 5.26%), dark(1, 2.63%), romantic(1, 2.63%), historical(2, 5.26%), western(1, 2.63%), comic(1, 2.63%)",38
The Addiction,"romantic(8, 13.33%), comedy(6, 10.00%), dramatic(3, 5.00%), suspenseful(5, 8.33%), horror(11, 18.33%), psychological(4, 6.67%), mystery(12, 20.00%), action(10, 16.67%), intrigue(3, 5.00%), murder(2, 3.33%), storytelling(1, 1.67%), realism(1, 1.67%), cult(5, 8.33%), fantasy(4, 6.67%), western(2, 3.33%), gothic(1, 1.67%), dark(3, 5.00%)",60
GirlFight: inVite,"romantic(10, 17.86%), dramatic(3, 5.36%), suspenseful(3, 5.36%), action(16, 28.57%), mystery(11, 19.64%), dark(6, 10.71%), comedy(9, 16.07%), fantasy(11, 19.64%), horror(9, 16.07%), cult(4, 7.14%), thought-provoking(1, 1.79%), western(2, 3.57%), intrigue(2, 3.57%), historical(2, 3.57%), psychological(2, 3.57%), storytelling(1, 1.79%)",56
K-20: Kaijin nijû mensô den,"fantasy(25, 30.86%), comic(22, 27.16%), action(33, 40.74%), cult(43, 53.09%), mystery(30, 37.04%), romantic(1, 1.23%), suspenseful(1, 1.23%), dramatic(3, 3.70%), western(3, 3.70%), dark(2, 2.47%), historical(2, 2.47%), intrigue(4, 4.94%), murder(2, 2.47%), storytelling(1, 1.23%), cute(1, 1.23%), sci-fi(1, 1.23%), horror(1, 1.23%), comedy(1, 1.23%)",81
Reservoir Dogs,"action(6, 46.15%), mystery(6, 46.15%), fantasy(2, 15.38%), sci-fi(1, 7.69%), horror(2, 15.38%), comedy(2, 15.38%), cult(1, 7.69%), intrigue(1, 7.69%), murder(1, 7.69%), suspenseful(1, 7.69%), dramatic(1, 7.69%), romantic(1, 7.69%), western(1, 7.69%)",13
A Perfect World,"western(2, 16.67%), action(5, 41.67%), fantasy(3, 25.00%), comic(1, 8.33%), cult(1, 8.33%), romantic(2, 16.67%), horror(2, 16.67%), comedy(2, 16.67%), sci-fi(1, 8.33%), mystery(1, 8.33%)",12
In a Lonely Place,"romantic(7, 20.00%), murder(2, 5.71%), mystery(8, 22.86%), fantasy(1, 2.86%), comedy(3, 8.57%), action(2, 5.71%), historical(6, 17.14%), dramatic(1, 2.86%), thought-provoking(1, 2.86%), cult(1, 2.86%), suspenseful(1, 2.86%), dark(1, 2.86%)",35
Orgy of the Dead,"romantic(24, 32.43%), whimsical(1, 1.35%), fantasy(25, 33.78%), suspenseful(4, 5.41%), comic(3, 4.05%), sci-fi(18, 24.32%), horror(43, 58.11%), comedy(25, 33.78%), action(30, 40.54%), cult(28, 37.84%), haunting(2, 2.70%), mystery(24, 32.43%), dramatic(4, 5.41%), entertaining(2, 2.70%), historical(7, 9.46%), western(4, 5.41%), murder(1, 1.35%), gothic(5, 6.76%), intrigue(1, 1.35%), dark(3, 4.05%), humor(1, 1.35%), paranormal(1, 1.35%), tragedy(1, 1.35%)",74
Teenage Mutant Ninja Turtles: Out of the Shadows,"fantasy(6, 30.00%), comic(6, 30.00%), horror(2, 10.00%), comedy(3, 15.00%), action(12, 60.00%), cult(1, 5.00%), mystery(4, 20.00%), romantic(1, 5.00%), suspenseful(1, 5.00%), plot twist(1, 5.00%), realism(1, 5.00%), psychedelic(1, 5.00%), sci-fi(1, 5.00%), intrigue(1, 5.00%), violence(1, 5.00%)",20
Miller's Crossing,"action(17, 31.48%), mystery(25, 46.30%), horror(8, 14.81%), violence(2, 3.70%), murder(8, 14.81%), fantasy(5, 9.26%), comedy(5, 9.26%), cult(4, 7.41%), dark(5, 9.26%), romantic(3, 5.56%), western(5, 9.26%), intrigue(6, 11.11%), dramatic(3, 5.56%), suspenseful(2, 3.70%), comic(1, 1.85%), revenge(1, 1.85%), satire(1, 1.85%), humor(1, 1.85%), inspiring(1, 1.85%), sci-fi(1, 1.85%), gothic(1, 1.85%)",54
Moonshine Mountain,"western(7, 10.61%), comedy(3, 4.55%), humor(2, 3.03%), historical(2, 3.03%), romantic(6, 9.09%), dramatic(1, 1.52%), action(4, 6.06%), horror(5, 7.58%), mystery(4, 6.06%), suspenseful(1, 1.52%), cult(1, 1.52%), comic(1, 1.52%), intrigue(1, 1.52%), violence(2, 3.03%), atmospheric(1, 1.52%), dark(1, 1.52%)",66
Mission: Impossible III,"romantic(1, 16.67%), western(1, 16.67%), horror(1, 16.67%), comedy(1, 16.67%), action(4, 66.67%), cult(1, 16.67%), suspenseful(1, 16.67%), fantasy(1, 16.67%), comic(1, 16.67%), sci-fi(1, 16.67%)",6
Paul Blart: Mall Cop,"action(4, 26.67%), mystery(2, 13.33%), whimsical(1, 6.67%), prank(1, 6.67%), comic(2, 13.33%), comedy(4, 26.67%), entertaining(2, 13.33%), absurd(1, 6.67%), satire(1, 6.67%), romantic(1, 6.67%), dramatic(1, 6.67%), intrigue(1, 6.67%), suspenseful(2, 13.33%), dark(1, 6.67%), murder(1, 6.67%)",15
The Canterville Ghost,"fantasy(15, 27.78%), sci-fi(3, 5.56%), mystery(14, 25.93%), dark(7, 12.96%), romantic(10, 18.52%), comedy(11, 20.37%), action(12, 22.22%), horror(12, 22.22%), gothic(3, 5.56%), cult(7, 12.96%), comic(2, 3.70%), historical(6, 11.11%), suspenseful(3, 5.56%), western(1, 1.85%), humor(1, 1.85%), dramatic(1, 1.85%), intrigue(1, 1.85%), murder(1, 1.85%), storytelling(1, 1.85%)",54
Confessions of a Shopaholic,"fantasy(1, 6.25%), comic(1, 6.25%), horror(1, 6.25%), comedy(1, 6.25%), action(2, 12.50%), cult(1, 6.25%), dramatic(1, 6.25%)",16
Du rififi chez les hommes,"romantic(2, 6.25%), historical(2, 6.25%), suspenseful(3, 9.38%), action(1, 3.12%), mystery(9, 28.12%), western(1, 3.12%), comedy(2, 6.25%), cult(2, 6.25%), murder(4, 12.50%), intrigue(1, 3.12%), violence(1, 3.12%)",32
Zombie Honeymoon,"romantic(5, 17.24%), fantasy(3, 10.34%), comic(1, 3.45%), sci-fi(2, 6.90%), horror(7, 24.14%), comedy(4, 13.79%), action(7, 24.14%), mystery(7, 24.14%), intrigue(2, 6.90%), psychological(1, 3.45%), thought-provoking(1, 3.45%), paranormal(1, 3.45%), haunting(1, 3.45%), cult(2, 6.90%), dark(3, 10.34%), dramatic(1, 3.45%)",29
Along Came a Spider,"romantic(1, 3.03%), historical(2, 6.06%), horror(10, 30.30%), mystery(17, 51.52%), dark(9, 27.27%), suspenseful(5, 15.15%), action(7, 21.21%), murder(2, 6.06%), dramatic(3, 9.09%), intrigue(2, 6.06%), fantasy(2, 6.06%), comedy(2, 6.06%), cult(3, 9.09%), thought-provoking(2, 6.06%), haunting(1, 3.03%)",33
Brokeback Mountain,"western(9, 45.00%), romantic(2, 10.00%), dark(2, 10.00%), thought-provoking(1, 5.00%), cult(1, 5.00%)",20
Life Is Hot in Cracktown,"action(27, 39.71%), murder(4, 5.88%), mystery(14, 20.59%), dark(2, 2.94%), fantasy(11, 16.18%), horror(11, 16.18%), comedy(16, 23.53%), cult(11, 16.18%), romantic(9, 13.24%), intrigue(3, 4.41%), suspenseful(2, 2.94%), psychological(1, 1.47%), thought-provoking(1, 1.47%), storytelling(1, 1.47%), sci-fi(3, 4.41%), western(1, 1.47%), violence(1, 1.47%)",68
Ercole al centro della Terra,"action(19, 47.50%), fantasy(17, 42.50%), comic(2, 5.00%), sci-fi(7, 17.50%), cult(14, 35.00%), suspenseful(1, 2.50%), mystery(9, 22.50%), dark(9, 22.50%), intrigue(3, 7.50%), romantic(4, 10.00%), historical(3, 7.50%), comedy(4, 10.00%), horror(12, 30.00%), western(3, 7.50%), dramatic(1, 2.50%), gothic(1, 2.50%)",40
The Last King of Scotland,"action(14, 21.54%), dramatic(4, 6.15%), cult(15, 23.08%), historical(3, 4.62%), romantic(4, 6.15%), comedy(5, 7.69%), fantasy(5, 7.69%), western(1, 1.54%), horror(3, 4.62%), mystery(7, 10.77%), suspenseful(3, 4.62%), dark(3, 4.62%), murder(1, 1.54%)",65
Big Fat Liar,"fantasy(13, 24.53%), horror(8, 15.09%), comedy(17, 32.08%), action(18, 33.96%), cult(7, 13.21%), mystery(7, 13.21%), comic(3, 5.66%), sci-fi(3, 5.66%), dark(1, 1.89%), entertaining(1, 1.89%), romantic(3, 5.66%), western(2, 3.77%), satire(1, 1.89%)",53
Clash of the Titans,"fantasy(16, 80.00%), historical(2, 10.00%), action(17, 85.00%), suspenseful(1, 5.00%), horror(2, 10.00%), mystery(1, 5.00%), dark(2, 10.00%), sci-fi(8, 40.00%), cult(5, 25.00%), comic(4, 20.00%), comedy(1, 5.00%)",20
Broken Blossoms or The Yellow Man and the Girl,"historical(13, 13.00%), cult(23, 23.00%), mystery(19, 19.00%), dramatic(10, 10.00%), comedy(8, 8.00%), action(9, 9.00%), satire(2, 2.00%), romantic(14, 14.00%), fantasy(4, 4.00%), horror(8, 8.00%), storytelling(1, 1.00%), suspenseful(3, 3.00%), dark(10, 10.00%), comic(1, 1.00%), murder(4, 4.00%), thought-provoking(1, 1.00%), intrigue(3, 3.00%), western(1, 1.00%), cute(1, 1.00%), atmospheric(1, 1.00%)",100
The Final Destination,"suspenseful(2, 5.00%), horror(4, 10.00%), psychological(1, 2.50%), haunting(1, 2.50%), mystery(5, 12.50%), action(20, 50.00%), romantic(7, 17.50%), comedy(9, 22.50%), murder(1, 2.50%), tragedy(1, 2.50%), cult(4, 10.00%), intrigue(1, 2.50%), satire(1, 2.50%), fantasy(2, 5.00%), sci-fi(2, 5.00%), dramatic(2, 5.00%), violence(1, 2.50%)",40
Psycho IV: The Beginning,"romantic(14, 21.54%), fantasy(10, 15.38%), dramatic(4, 6.15%), sci-fi(6, 9.23%), horror(24, 36.92%), comedy(12, 18.46%), action(13, 20.00%), mystery(27, 41.54%), paranormal(4, 6.15%), intrigue(5, 7.69%), haunting(3, 4.62%), dark(11, 16.92%), cult(11, 16.92%), inspiring(1, 1.54%), murder(3, 4.62%), suspenseful(8, 12.31%), tragedy(2, 3.08%), psychological(3, 4.62%), plot twist(1, 1.54%), western(1, 1.54%), gothic(1, 1.54%), historical(1, 1.54%), bleak(1, 1.54%)",65
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"fantasy(3, 3.90%), sci-fi(1, 1.30%), action(7, 9.09%), cult(4, 5.19%), romantic(2, 2.60%), intrigue(5, 6.49%), mystery(8, 10.39%), dark(2, 2.60%), historical(9, 11.69%), comedy(1, 1.30%), dramatic(4, 5.19%), suspenseful(1, 1.30%), murder(4, 5.19%), horror(2, 2.60%), paranormal(1, 1.30%), psychological(1, 1.30%), western(1, 1.30%), violence(1, 1.30%)",77
